case_name,document_type,case_number,court
USA v. In Re: Motorola Telephone with White Back,Search and Seizure Warrant Returned Executed,2:21-mj-00042-1,vtd
USA v. Cohen,Search and Seizure Warrant Returned Executed,2:21-mj-00030-1,vtd
USA v. Oquendo,Search and Seizure Warrant Returned Executed,2:21-cr-00030-1,vtd
USA v. Williams et al,Search and Seizure Warrant Returned Executed,2:20-cr-00101-1,vtd
USA v. In Re: Motorola Telephone with White Back,Application for Search Warrant,2:21-mj-00042-1,vtd
"United States of America v. &#036;17,761.00, More or Less, in United States Currency",Warrant Issued,2:21-cv-00121,vtd
USA v. Flintroy et al.,Search and Seizure Warrant Returned Executed,2:20-cr-00112-1,vtd
"USA v. In Re: All funds up to &#036;100,030.00 from account number 7303991, at Toronto Dominion Bank in Canada",Search and Seizure Warrant Returned Executed,2:20-mj-00077-1,vtd
USA v. Fiore et al,Search and Seizure Warrant Returned Executed,2:19-cr-00078-1,vtd
USA v. Information,Search Warrant Returned Executed,1:21-mj-00076-1,vawd
USA v. U.S. Postal Service Priority Mail Express Parcel,Search Warrant Returned Executed,7:21-mj-00057-1,vawd
USA v. Search of Facebook,Search Warrant Returned Executed,4:21-mj-00002-1,vawd
"USA v. Charcoal Apple iPhone, et al",Search Warrant Returned Executed,7:21-mj-00020-1,vawd
USA v. Cell Phones and Computers,Search Warrant Returned Executed,1:21-mj-00032-1,vawd
USA v. U.S. Postal Service Priority Mail Express parcels,Search Warrant Returned Executed,7:21-mj-00053-1,vawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00182-12,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00183-8,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00182-13,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00182-28,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00182-42,wawd
USA v. Subject Premises,Search Warrant Returned Executed,2:21-mj-00176-1,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00183-9,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00182-40,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00183-2,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00183-19,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00183-1,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00183-23,wawd
USA v. Mathis,Search Warrant Returned Executed,3:21-mj-05094-1,wawd
USA v. The location more particularly described in Attachments A and A1 et al,Search Warrant Returned Executed,2:21-mj-00182-36,wawd
USA v. US Mail Parcel,Search Warrant Returned Executed,2:20-mj-00028-1,wawd
USA v. Subject Parcel,Search Warrant Returned Executed,2:21-mj-00241-1,wawd
United States of America v. One Stallard Arms Model JS 9 MM Pistol  et al,Warrant Issued,1:21-cv-00058,wvnd
"USA v. USPS Parcel tracking number EL 479 342 861 originating from Milwaukee, WI",Search Warrant Returned Executed,2:21-mj-00093-1,wied
USA v. USPS Priority Mail Parcel,Search Warrant Returned Executed,1:21-mj-00628-1,wied
"USA v. N51W34917 Wisconsin Avenue Waukesha WI 53609 free standing mailbox labeled 4, 5, 8, 9",Search Warrant Returned Executed,2:21-mj-00819-2,wied
"USA v. N51W34917 Wisconsin Avenue Waukesha WI 53609 free standing mailbox labeled 4, 5, 8, 9",Search Warrant Returned Executed,2:21-mj-00819-1,wied
USA v. USPS Priority Mail Express Envelope,Search Warrant Returned Executed,1:21-mj-00642-1,wied
"USA v. Electronic Devices, Items 1-2",Search Warrant Returned Executed,1:21-mj-00611-1,wied
"USA v. N51W34917 Wisconsin Avenue Waukesha WI 53609 free standing mailbox labeled 4, 5, 8, 9",Search Warrant Returned Executed,2:21-mj-00819-3,wied
"USA v. 1125 Lawndale Dr, Menasha, WI 54952",Search Warrant Returned Executed,1:21-mj-00631-1,wied
USA v. USPS Priority Mail Express Envelope,Search Warrant Returned Executed,1:21-mj-00625-1,wied
USA v. USPS Parcel 950550663731110023983,Search Warrant Returned Executed,2:21-mj-00359-1,wied
USA v. SEALED,Search Warrant Returned Executed,2:21-mj-00083-1,wied
USA v. 1998 Mercedes Benz ML WI plate QVD25 2007 Mercury Mariner WI plate AFH980,Search Warrant Returned Executed,2:21-mj-00817-2,wied
"USA v. 511 E North Street Waukesha WI 53188 mail box number 129, 133, 142",Search Warrant Returned Executed,2:21-mj-00818-3,wied
USA v. 311 North Greenfield Ave Waukesha WI 53186 including the garage and exterior storage sheds,Search Warrant Returned Executed,2:21-mj-00816-1,wied
USA v. SEALED,Search Warrant Returned Executed,1:20-mj-00091-1,gud
"USA v. One (1) U.S. Priority Mail Package Bearing the Printed Address of Nico Nasty, PO Box 11370, Yigo, Guam 96929",Search Warrant Returned Executed,1:21-mj-00018-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:20-mj-00126-1,gud
"USA v. One (1) U.S. Priority Mail Parcel Bearing the Printed Address of Justin Nieyes, 151 S. David Gorton St., Talofofo, GU 96915",Search Warrant Returned Executed,1:21-mj-00009-1,gud
"USA v. One (1) U.S. Priority Mail Package Bearing the Printed Address of Ken Cruz, PO Box 7008, Agat, GU 96928",Search Warrant Returned Executed,1:21-mj-00046-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:21-mj-00089-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:21-mj-00011-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:20-mj-00100-1,gud
"USA v. One (1) U.S. Priority Mail Package Bearing the Printed Address of Kyle Castro, 275G Farenholt Ave Suite 443, Tamuning, GU 96913",Search Warrant Returned Executed,1:21-mj-00022-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:21-mj-00063-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:20-mj-00113-1,gud
"USA v. One (1) U.S. Mail Package Bearing the Printed Address of Jesse Quinata, &#035;11 Lourdes St., Baza Gardens Yona, GU 96915 (Quinata 2)",Search Warrant Returned Executed,1:21-mj-00059-1,gud
"USA v. One (1) U.S. Priority Mail Bearing the Printed Address of Leon Guerrero Silvia, Box 1251, 130 W Marine Corps Dr, 96929, Dededo GU. Guam",Search Warrant Returned Executed,1:21-mj-00045-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:20-mj-00110-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:20-mj-00114-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:20-mj-00122-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:21-mj-00053-1,gud
USA v. SEALED,Search Warrant Returned Executed,1:21-mj-00062-1,gud
USA v. Sealed Search Warrant & Application for Non-Disclosure Order,Order on Motion to Unseal Case,1:20-mj-02558-1,flsd
